list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
133008633,VF3,New,2026,Da Nang City,271000000,,Not mentioned,11,8,275000000.0,260500000.0,282500000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF3 ƯU ĐÃI KHỦNG, XE SẴN GIAO NGAY"
130441612,Limo Green,New,2026,Ho Chi Minh City,644000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VINFAST LIMO GREEN , TRẢ TRƯỚC 70TR NHẬN XE"
116140612,VF3,New,2026,Ho Chi Minh City,278000000,,Purchase mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VF3 TRẢ TRƯỚC 45TR, KHÔNG CẦN CHỨNG MINH THU NHẬP"
134408733,VF5,Used,2024,Ho Chi Minh City,380000000,30000.0,Purchase mentioned,11,10,368000000.0,350000000.0,379500000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Plus 2024 Trắng
134425247,VF5,Used,2024,Ho Chi Minh City,350000000,136125.0,Not mentioned,11,10,368000000.0,350000000.0,379500000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Trắng 136.125 km
134424262,VF3,Used,2024,Ho Chi Minh City,240000000,30000.0,Purchase mentioned,14,14,202000000.0,198000000.0,218000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VF3 24 - MUA PIN - LÊN NHIỀU PK - FREE SẠC KGH
134384386,VF8,Used,2023,Ho Chi Minh City,675000000,53946.0,Not mentioned,19,8,645000000.0,585000000.0,679000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF8 Plus 2023 xanh nội thất nâu-T8 tặng trước bạ
134227739,Limo Green,New,2026,Da Nang City,656000000,,Not mentioned,10,7,644000000.0,640920000.0,644000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast Limo Green 7 chỗ Trắng
134359338,EC VAN,New,2026,Ho Chi Minh City,248000000,,Not mentioned,20,18,256000000.0,248000000.0,268000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VINFAST EC VAN, XE SẴN GIAO, HỔ TRỢ VAY VỐN 90%"
134397229,VF6,New,2026,Ho Chi Minh City,615000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF6 Trắng mới 100% được tặng
134394740,MPV7,New,2026,Ho Chi Minh City,649999999,,Not mentioned,23,22,699000000.0,650000000.0,710000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF MPV 7 Siêu Ưu Đãi - Trả 100TR Nhận Xe
134399596,VF3,Used,2025,Ho Chi Minh City,290000000,0.0,Not mentioned,28,19,258000000.0,249750000.0,268500000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 Plus 2026 Hồng SẴN XE GIAO NGAY
134170331,VF8,New,2026,Ho Chi Minh City,799000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF8 2026 ALL NEW - ƯU ĐÃI KHỦNG THÁNG 08
133815406,VF8,Used,2023,Ho Chi Minh City,678000000,55000.0,Purchase mentioned,19,8,645000000.0,585000000.0,679000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF8 Plus 2023-ODO 5v5-Có Hỗ Trợ Trả Góp
134413273,VF3,New,2026,Hanoi,275000000,,Purchase mentioned,11,10,269000000.0,224000000.0,277000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 PLUS Sx 2026 xe mới 100% giao ngay
134413106,VF3,Used,2025,Ho Chi Minh City,235000000,40.0,Purchase mentioned,28,19,258000000.0,249750000.0,268500000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 2025 TC2 Xám bản mua pin
133665996,VF8,Used,2023,Ho Chi Minh City,645000000,40000.0,Purchase mentioned,19,8,645000000.0,585000000.0,679000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF8 Eco 2023 Pin CATL Hồ sơ sẵn bấm biển
133006785,VF8,Used,2023,Ho Chi Minh City,530000000,74000.0,Purchase mentioned,19,8,645000000.0,585000000.0,679000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF8 Eco 2023 Pin SDI sẵn hồ sơ bấm số
134406227,VF6,Used,2025,Ho Chi Minh City,518000000,65000.0,Purchase mentioned,11,6,555000000.0,529000000.0,592000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VF6 ECO 25 - FREE SẠC KGH - TRANG BỊ CAM360,...."
134268515,VF8,New,2026,Ho Chi Minh City,848000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF8 All New XE GIAO NGAY, VAY ĐẾN 90–100%"
133667433,Limo Green,New,2026,Ho Chi Minh City,644000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast Limo Green Đen sẵn giao ngay
134349623,VF3,New,2026,Ho Chi Minh City,205000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VF3 Plus-Hồng Phấn: có sẵn, giao trước lễ 2/9"
133096890,VF7,New,2026,Ho Chi Minh City,671000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF 7 Eco , Trả Trước 100tr nhận xe !!!"
134329085,VF3,New,2026,Ho Chi Minh City,259900000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF3 trả trước 30tr , bank 90%"
134151115,VF5,New,2026,Ho Chi Minh City,446400000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 2026 5 chỗ
